Performing system checks...

System check identified no issues (0 silenced).
/usr/local/lib/python3.10/dist-packages/whitenoise/base.py:109: UserWarning: No directory at: /home/web/sempregreen/staticfiles/
  warnings.warn(f"No directory at: {root}")
August 02, 2023 - 00:31:46
Django version 4.2, using settings 'sempregreen.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

[02/Aug/2023 01:56:07] "GET /assets/fa/fa-solid-900-7af6adf2dfbabbffec323524576778f4e3ea6f27d348b8fc6c644e033476c1b8.ttf HTTP/1.0" 404 179
[02/Aug/2023 01:56:07] "GET /assets/fa/fa-regular-400-1b0575debccdaafaea70531e1611993c11aed44b87161184b18e8ff4f34639f2.ttf HTTP/1.0" 404 179
[02/Aug/2023 01:57:57] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 01:57:57] "GET /dashboard HTTP/1.0" 200 56682
[02/Aug/2023 01:57:57] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 01:57:57] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 01:57:58] "GET /odds HTTP/1.0" 200 509193
[02/Aug/2023 02:05:14] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 02:12:54] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 02:16:57] "GET / HTTP/1.0" 302 0
[02/Aug/2023 02:16:57] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 02:16:58] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 02:16:58] "GET /odds HTTP/1.0" 200 55148
[02/Aug/2023 02:16:58] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 02:16:58] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 02:17:13] "GET /redirect/jxzg5o6OlEg/188bet HTTP/1.0" 302 0
[02/Aug/2023 02:17:13] "GET / HTTP/1.0" 302 0
[02/Aug/2023 02:17:14] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 02:19:20] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 02:19:20] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 02:19:21] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 02:19:21] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 02:19:21] "GET /odds HTTP/1.0" 200 47326
